112|Andre Broadnax|||||||||||||||Queen Bee & Blue Hornet Band||||U.N.V.|||Xavier||Axel Zwingenberger
Apache|Beverly|Chop Shop|Dee Dee|Ethan Burnett & the Voices of Judah|Formula Five|Goodfellaz|Hancock, Herbie||Jamiroquai|Klymaxx|Les Nubians ; http://www.lesnubians.com/|John Marshall|Norman Whitfield (Tribute)|Orioles, The|Persuaders||Rabbit Ears (Series)|John Scofield|T-Connection|||Joja Wendt|||
Archie Bell & The Drells|Big Bad Smitty|Christianaires|Deee-Lite|Ethics|Foundations|Gospel Tribe Family|Here Come The Girls: (60's British Female Pop Series)||Jamm|Knee Deep Shag|Leschea|John Mayall|Notations|On Air Band ; http//www.onairband.com/|Peter Fujii & Deszon X. Claiborne||Rachid|John Surman|T.C.F. Crew|||Justin Warfield|||
Arhoolie Label Classics (Series)|Big Bub|Christine Cooney|Deele|Eunique|Four P.m.|Gq|Hi Rhythm||Janet Jackson ; http://www.janetjackson.com/|Knight Brothers/Willis/Thomas|Level 42|Johnny Mathis|Npg|Optimum ; http//www.optimummusic.com/|Phajja||Rad|Jon Simon|TC|||Kai Winding|||
Arista Heritage (Series)|Big Caboose & The Soul Penetrators|Christion|Deep Soul (Series)|EuroTrash|Four Point O|Graham Central Station|Hi-Five||Janice|Kobi|Lewallen Brothers|Joseph Patrick Moore|Nu Beginning|Ortophonk ; http//www.ortophonk.com/|Phalon||Rae & Christian|Joyce Sims|TLC|||Karyn White|||
Arrabon|Big Corn|Christmas Classics|Defunkt ; http://www.defunktmusic.com/|Every Great Motown Song (Series)|Four Sure|Grammy (Related Recordings)|Hicks/Hughes||Jarmels|Kofi|Lewis; Ammons; Sykes; Yancey; Slim|Kathy Myron|Nu Flavor|Otis Day & The Knights ; http//www.otisdayandtheknights.com/|Pharcyde||Raggs|Julian Stringle|TQ|||Keith Washington|||
Art Laboe Presents (Series)|Big Daddy|Christmas In Vienna|Deja|Exciters|Fourplay|Grammy Nominees (Series)|Hieroglyphics||Jasmin|Korell|Liberty|Kelli Mack|Nu Shooz||Phat Phunktion ; http//www.phatphunktion.com/||Rahzel|Kalyanji Shah|Take 6|||Kelli Williams|||
Art N' Soul|Big E The Black|Chuck Brown & The Soul Searchers|Delano|Faith Evans ; http://www.faithfullyfaith.com/|Foxx|Grammy's Greatest Moments (Series)|Hip-Hop Nation||Jay & The Techniques|Kreators|Lifestyles Of The Slow & Low (Series)|Larry Marshall|Nut N' 2 Nice||Phat Trax: Best Of Old School (Series)||Rain 'n' Tears|Keith Sweat|Talib from Imajin|||Kenny Werner|||
Arthur Alexander|Big Joe Turner|Chuck D.|Dells/Dramatics|||Grateful Dead (Tribute)|History Of House Music||Jay-Z|Kreuz|Light Of Love|Laura Martinez|Nuttin' Nyce||Phats & Small||Raja-Nee|Kimberly Scott|Talkin' Verve: Roots Of Acid Jazz (Series)|||Kim Waters|||
Artifacts|Big Joe Williams|Cigar Classics (Series)|Delta 72|Harry Edison||Great Gospel (Series)|Hits Of The Seventies||Jaze|Kristine|Lighthouse Family|Lee Marrow|Nyasia||Perry, Phil||Ram Squad|Latise Shale't|Tamar|||Kim Weston|||
Asante|Big Kahuna|Cindy G.|Demolition Doll Rods|John Ellison|Frankie|Great R&B Groups (Series)|Holland/Dozier/Holland||Jazz 'Round Midnight (Series)|Kurtis Blow Presents The History Of Rap (Series)|Lightnin' Slim|Lee Morris|Ollie Nightingale||World, Philly||Ransom|Lea Salonga|Tamia|||Kino Watson|||
